Age,Reference area,Sex,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#group+sex,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y_GE15,MW,F,2014,PT,72.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,2014,PT,82.3,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,2015,PT,77.1,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,2015,PT,82.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,2015,PT,72.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,2016,PT,81.6,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,2016,PT,72.3,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,2016,PT,76.8,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,2017,PT,81.9,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,2017,PT,72.3,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,2017,PT,77.0,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,2018,PT,72.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,2018,PT,82.1,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,2018,PT,77.1,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,M,2019,PT,82.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,F,2019,PT,72.4,A,0,5,A,MWI,ILO_LFPR
Y_GE15,MW,_T,2019,PT,77.3,A,0,5,A,MWI,ILO_LFPR
