Age,Reference area,Time Period,Unit of measure,Obs value,Obs status,Unit mult,Decimals,Freq,Country-iso3,Indicator name
#group+age,#geo+reference+area,#date,#meta+unit+measure+name,#indicator+value+num,,#meta+unit+mult+name,#meta+decimals,#indicator+frequency,#country+iso3,#indicator+name
Y15T24,MW,2000,PER,2135.707,A,3,5,A,MWI,POP
Y_GE65,MW,2000,PER,348.119,A,3,5,A,MWI,POP
_T,MW,2000,PER,11148.758,A,3,5,A,MWI,POP
Y_GE65,MW,2001,PER,352.842,A,3,5,A,MWI,POP
Y15T24,MW,2001,PER,2199.907,A,3,5,A,MWI,POP
_T,MW,2001,PER,11432.0,A,3,5,A,MWI,POP
Y_GE65,MW,2002,PER,356.452,A,3,5,A,MWI,POP
_T,MW,2002,PER,11713.664,A,3,5,A,MWI,POP
Y15T24,MW,2002,PER,2272.946,A,3,5,A,MWI,POP
_T,MW,2003,PER,12000.181,A,3,5,A,MWI,POP
Y15T24,MW,2003,PER,2353.974,A,3,5,A,MWI,POP
Y_GE65,MW,2003,PER,359.106,A,3,5,A,MWI,POP
_T,MW,2004,PER,12301.838,A,3,5,A,MWI,POP
Y_GE65,MW,2004,PER,360.945,A,3,5,A,MWI,POP
Y15T24,MW,2004,PER,2441.084,A,3,5,A,MWI,POP
Y_GE65,MW,2005,PER,362.035,A,3,5,A,MWI,POP
_T,MW,2005,PER,12625.952,A,3,5,A,MWI,POP
Y15T24,MW,2005,PER,2532.953,A,3,5,A,MWI,POP
Y15T24,MW,2006,PER,2618.419,A,3,5,A,MWI,POP
_T,MW,2006,PER,12973.699,A,3,5,A,MWI,POP
Y_GE65,MW,2006,PER,368.041,A,3,5,A,MWI,POP
Y15T24,MW,2007,PER,2708.85,A,3,5,A,MWI,POP
_T,MW,2007,PER,13341.806,A,3,5,A,MWI,POP
Y_GE65,MW,2007,PER,373.227,A,3,5,A,MWI,POP
Y_GE65,MW,2008,PER,377.781,A,3,5,A,MWI,POP
_T,MW,2008,PER,13727.89,A,3,5,A,MWI,POP
Y15T24,MW,2008,PER,2802.908,A,3,5,A,MWI,POP
Y15T24,MW,2009,PER,2899.324,A,3,5,A,MWI,POP
_T,MW,2009,PER,14128.155,A,3,5,A,MWI,POP
Y_GE65,MW,2009,PER,382.05,A,3,5,A,MWI,POP
Y_GE65,MW,2010,PER,386.159,A,3,5,A,MWI,POP
_T,MW,2010,PER,14539.612,A,3,5,A,MWI,POP
Y15T24,MW,2010,PER,2997.194,A,3,5,A,MWI,POP
_T,MW,2011,PER,14962.115,A,3,5,A,MWI,POP
Y_GE65,MW,2011,PER,397.497,A,3,5,A,MWI,POP
Y15T24,MW,2011,PER,3079.153,A,3,5,A,MWI,POP
Y15T24,MW,2012,PER,3165.832,A,3,5,A,MWI,POP
Y_GE65,MW,2012,PER,409.482,A,3,5,A,MWI,POP
_T,MW,2012,PER,15396.015,A,3,5,A,MWI,POP
Y15T24,MW,2013,PER,3257.12,A,3,5,A,MWI,POP
Y_GE65,MW,2013,PER,421.395,A,3,5,A,MWI,POP
_T,MW,2013,PER,15839.286,A,3,5,A,MWI,POP
_T,MW,2014,PER,16289.552,A,3,5,A,MWI,POP
Y_GE65,MW,2014,PER,432.182,A,3,5,A,MWI,POP
Y15T24,MW,2014,PER,3352.852,A,3,5,A,MWI,POP
_T,MW,2015,PER,16745.303,A,3,5,A,MWI,POP
Y15T24,MW,2015,PER,3453.284,A,3,5,A,MWI,POP
Y_GE65,MW,2015,PER,441.411,A,3,5,A,MWI,POP
Y15T24,MW,2016,PER,3555.411,A,3,5,A,MWI,POP
_T,MW,2016,PER,17205.261,A,3,5,A,MWI,POP
Y_GE65,MW,2016,PER,455.506,A,3,5,A,MWI,POP
_T,MW,2017,PER,17670.196,A,3,5,A,MWI,POP
Y_GE65,MW,2017,PER,468.086,A,3,5,A,MWI,POP
Y15T24,MW,2017,PER,3659.642,A,3,5,A,MWI,POP
Y15T24,MW,2018,PER,3769.011,A,3,5,A,MWI,POP
Y_GE65,MW,2018,PER,479.967,A,3,5,A,MWI,POP
_T,MW,2018,PER,18143.217,A,3,5,A,MWI,POP
Y15T24,MW,2019,PER,3887.131,A,3,5,A,MWI,POP
Y_GE65,MW,2019,PER,492.176,A,3,5,A,MWI,POP
_T,MW,2019,PER,18628.747,A,3,5,A,MWI,POP
